material_id,Name,A_site,B_site,X_site,Spacegroup,Ehull,Energy,nsites,density_MP
mp-1183115,AcAlO3,Ac,Al,O,Pm-3m,0,-39.09924288,5,8.54677368663323
mp-1183052,AcBO3,Ac,B,O,Pm-3m,0.792472744666666,-35.95268513,5,9.20687860674916
mp-866101,AcCrO3,Ac,Cr,O,Pm-3m,0,-42.17972925,5,8.69648776439053
mp-864606,AcCuO3,Ac,Cu,O,Pm-3m,0,-33.10720375,5,9.16094865738273
mp-861502,AcFeO3,Ac,Fe,O,Pm-3m,0,-39.36239622,5,8.88749944089024
mp-1183053,AcGaO3,Ac,Ga,O,Pm-3m,0,-35.24674247,5,9.09709602156382
mp-1183142,AcMgO3,Ac,Mg,O,Pm-3m,0.0821852571250012,-33.5421901,5,7.67175047059251
mp-864911,AcMnO3,Ac,Mn,O,Pm-3m,0,-41.25959656,5,8.74581750474719
mp-1183139,AcNiO3,Ac,Ni,O,Pm-3m,0,-32.22996124,5,9.08984200957633
mp-1183145,AcPdO3,Ac,Pd,O,Pm-3m,0.00810204100000078,-33.26572516,5,9.24097272383091
mp-1183152,AcScO3,Ac,Sc,O,Pm-3m,0.0241400348749998,-42.38073837,5,7.56920789310877
mp-1183150,AcSiO3,Ac,Si,O,Pm-3m,0.470820513500001,-36.6716862,5,8.042348175117
mp-865927,AcTiO3,Ac,Ti,O,Pm-3m,0,-42.82411215,5,8.28464459357667
mp-1183168,AcVO3,Ac,V,O,Pm-3m,0,-39.98401739,5,8.40871027977234
mp-558950,AgAsO3,Ag,As,O,Pca2_1,0.0257653142500054,-635.96416593,120,5.32051927267678
mp-1178563,AgAsO3,Ag,As,O,R-3,0,-53.26932324,10,6.12713900547965
mp-775767,AgAsO3,Ag,As,O,C2/c,0.0372678645000057,-105.75242932,20,5.03052795224848
mp-776165,AgAuO3,Ag,Au,O,Fd-3m,0.0593819920416694,-82.62906297,20,8.56917224999458
mp-752678,AgAuO3,Ag,Au,O,Cmcm,0.418690363541669,-81.74491022,20,7.96334062103367
mp-775774,AgBiO3,Ag,Bi,O,Cmmm,0.026863360999986,-49.26636985,10,7.84322658960505
mp-23548,AgBiO3,Ag,Bi,O,R-3,0.0488216819999865,-49.04907297,10,7.83602290690699
mp-780275,AgBO3,Ag,B,O,R-3c,0.0851976207083345,-59.60036593,10,5.03521879250732
mp-985292,AgBO3,Ag,B,O,Pm-3m,1.03971330270833,-25.03867502,5,6.54874680026596
mp-1178562,AgBrO3,Ag,Br,O,R3m,0.0016109087916707,-18.66179941,5,4.57296444528785
mp-776199,AgClO3,Ag,Cl,O,P2_1/c,0.0486049455000011,-77.72243808,20,4.11192348404495
mp-775761,AgClO3,Ag,Cl,O,P2_13,0.0315841525000007,-78.06177346,20,4.02164684154748
mp-27941,AgClO3,Ag,Cl,O,I4/m,0.0382847265000006,-77.91737226,20,4.13444242678425
mp-1178561,AgClO3,Ag,Cl,O,R3m,0.0928175745000006,-19.20856268,5,4.13425987706201
mp-753176,AgCO3,Ag,C,O,R-3c,0.0035800969999995,-62.02903965,10,4.66130612898133
mp-891880,AgGeO3,Ag,Ge,O,Pbam,0.0845761869583281,-107.56931695,80,5.1841878936333
mp-891854,AgGeO3,Ag,Ge,O,Pmma,0.0869077203333282,-53.80060331,10,4.98491318286869
mp-779706,AgGeO3,Ag,Ge,O,P2_12_12,0.0907621188333279,-107.57226373,20,5.18419888830301
mp-759939,AgGeO3,Ag,Ge,O,Pmma,0.112304915333328,-53.58590241,10,6.66947876629855
mp-779664,AgGeO3,Ag,Ge,O,Pmc2_1,0.0863577643333278,-53.82966755,10,4.985150661529
mp-27384,AgIO3,Ag,I,O,Pca2_1,0,-165.54846115,40,5.65583460978469
mp-1202188,AgIO3,Ag,I,O,Pbca,0.0109432500000004,-165.11415336,40,5.79831128543912
mp-849271,AgIO3,Ag,I,O,Pnma,0.0274698735000003,-82.23066679,20,5.65759584763595
mp-1178556,AgPbO3,Ag,Pb,O,R-3,0.110328907000002,-47.12574833,10,8.23510633514352
mp-776166,AgPdO3,Ag,Pd,O,Cmcm,0.438217555000001,-92.89137849,20,6.51035621598347
mp-18702,AgPO3,Ag,P,O,P2_1/c,0,-246.57540679,40,4.40552900872216
mp-775762,AgPO3,Ag,P,O,P2_1/c,0.0454448285000009,-122.38118223,20,4.68793250531224
mp-5470,AgPS3,Ag,P,S,C2/m,0.0096905379999912,-42.88515475,10,3.11152908721451
mp-776168,AgRuO3,Ag,Ru,O,Fd-3m,0.0572183593333335,-119.43407432,20,6.42702471925485
mp-540872,AgSbO3,Ag,Sb,O,Fd-3m,0.00688871599998997,-107.39785263,20,6.48163240229557
mp-860791,AgSbO3,Ag,Sb,O,C2,0.0436601923333217,-160.00894766,30,6.42037270146072
mp-677054,AgSbO3,Ag,Sb,O,P1,0.0597553393333223,-319.05054271,60,6.44836095808704
mp-545999,AgSbO3,Ag,Sb,O,R-3,0,-53.77475346,10,6.37523918318294
mp-755834,AgSnO3,Ag,Sn,O,Cmmm,0.0906154869999982,-52.75168881,10,6.77507279284434
mp-1404877,AlAgO3,Al,Ag,O,P6_3/mmc,0.574032784643941,-52.55160678,10,5.21303680900849
mp-1183169,AlAgO3,Al,Ag,O,Pm-3m,0.33989444264394,-27.19368755,5,5.75291958624763
mp-1253488,AlAgO3,Al,Ag,O,Pnma,0.19381714914394,-112.64548313,20,4.89878518875307
mp-1343733,AlAgO3,Al,Ag,O,Pnma,0.21731366264394,-112.237596,20,5.10988330087914
mp-1343327,AlAgO3,Al,Ag,O,P6_3cm,0.334030971977273,-164.85457442,30,5.29927448214778
mp-1418444,AlAgO3,Al,Ag,O,Pm-3m,1.70407743464394,-20.62558014,5,4.73092208484754
mp-1183159,AlAuO3,Al,Au,O,Pm-3m,0.575234608727271,-26.79960013,5,8.48609808637779
mp-1376082,AlBiO3,Al,Bi,O,P6_3cm,0.517672269916667,-183.59616631,30,6.90332862275592
mp-23080,AlBiO3,Al,Bi,O,Pm-3m,0.121609234250002,-32.57968332,5,8.6806838526175
mp-551918,AlBiO3,Al,Bi,O,R3c,0.0533350642500006,-65.83976018,10,8.29602835865707
mp-1413511,AlBiO3,Al,Bi,O,Pm-3m,1.66502289425,-24.85563856,5,6.03705189961594
mp-1344602,AlBiO3,Al,Bi,O,Pnma,0.234789572750001,-128.05509815,20,6.88749399722764
mp-1392353,AlBiO3,Al,Bi,O,P6_3/mmc,0.865597637250001,-57.71946843,10,6.3732324585311
mp-775763,AlBiO3,Al,Bi,O,P2_1/c,0.0782941787500002,-131.16942604,20,6.63925038929132
mp-8110,AlBO3,Al,B,O,R-3c,0.0328901956250132,-77.58874792,10,3.49721646811567
mp-1435808,AlCoO3,Al,Co,O,Pm-3m,1.32827165381818,-26.90345665,5,4.40971941493784
mp-1386773,AlCoO3,Al,Co,O,P6_3/mmc,0.28680172181818,-63.92587614,10,4.58868878734629
mp-1348445,AlCoO3,Al,Co,O,P6_3cm,0.269171609151512,-192.73967014,30,4.54685960826025
mp-1378752,AlCoO3,Al,Co,O,Pnma,0.21236072431818,-131.28059803,20,5.19086054762903
mp-1404938,AlCoO3,Al,Co,O,P-1,5.10494422781818,-16.71446398,10,4.76983747355832
mp-1248478,AlCoO3,Al,Co,O,P1,0.281046083484846,-194.47733425,30,4.43935661237273
mp-776216,AlCoO3,Al,Co,O,P-1,0.13517791681818,-66.28082606,10,4.76983684965077
mp-1178576,AlCoO3,Al,Co,O,R-3,0.0617001338181797,-66.78819372,10,5.04767521030208
mp-756947,AlCoO3,Al,Co,O,C2/c,0.13198388231818,-139.61480458,20,4.39658586706044
mp-754022,AlCoO3,Al,Co,O,P1,0.14641343081818,-69.59698909,10,4.76142518983074
mp-1385937,AlCrO3,Al,Cr,O,P6_3/mmc,0.374911019500002,-69.06488385,10,4.10189598016658
mp-1345463,AlCrO3,Al,Cr,O,Pnma,0.176285461000003,-147.14399839,20,4.41520288800972
mp-1383064,AlCrO3,Al,Cr,O,P4/mmm,1.3427578775,-31.95156387,5,3.863934818304
mp-1251690,AlCrO3,Al,Cr,O,P6_3cm,0.352142375500003,-221.00932395,30,4.12996952290708
mp-776172,AlCuO3,Al,Cu,O,P2_1/c,0.11748381154545,-123.50193645,20,4.63697651078505
mp-1504314,AlCuO3,Al,Cu,O,Pm-3m,1.32438792954545,-24.872398,5,4.54437800921111
mp-1347317,AlCuO3,Al,Cu,O,Pnma,0.21573284804545,-121.66310403,20,4.75627043516454
mp-1412082,AlCuO3,Al,Cu,O,P6_3/mmc,0.235508398545448,-60.63411387,10,4.7427515822073
mp-1253258,AlCuO3,Al,Cu,O,P6_3cm,0.200237262212116,-182.86147874,30,4.75314853507947
mp-1178579,AlCuO3,Al,Cu,O,R-3,0.14355884054545,-61.42922385,10,4.89943629631307
mp-1178577,AlFeO3,Al,Fe,O,R-3,0.0325528524999914,-70.78369597,20,4.49945571149891
mp-1254277,AlFeO3,Al,Fe,O,Pnma,0.280233170999993,-135.4507619,20,4.46357018331295
mp-1259818,AlFeO3,Al,Fe,O,P2_1/c,0.210626288499993,-137.57639215,20,4.39070281773228
mp-776154,AlFeO3,Al,Fe,O,Pnma,0.0803160834999925,-148.42487925,20,4.70747469606122
